Hidden Layer Sizes,Activation Function,Learning Rate,Batch Size,Number of Epochs,Accuracy (Train),Accuracy (Test),Training Time,dataset
[2],sigmoid,0.01,32,20,0.41554445028305054,0.46535947918891907,8.62756085395813,wine_quality
[2],sigmoid,0.01,64,10,0.3212774097919464,0.3045751750469208,3.588923931121826,wine_quality
[2],sigmoid,0.01,64,15,0.3380146324634552,0.33986929059028625,3.2306528091430664,wine_quality
[2],sigmoid,0.01,64,20,0.3838014602661133,0.4104575216770172,6.4560301303863525,wine_quality
[2],sigmoid,0.01,128,10,0.3201231360435486,0.2967320382595062,1.812596082687378,wine_quality
[2],sigmoid,0.01,128,15,0.3170450031757355,0.3019607961177826,2.7799501419067383,wine_quality
[2],sigmoid,0.01,128,20,0.32474029064178467,0.32418301701545715,5.319709777832031,wine_quality
[2],sigmoid,0.001,32,10,0.4072720408439636,0.39084967970848083,6.051059007644653,wine_quality
[2],sigmoid,0.001,32,15,0.35840708017349243,0.3163398802280426,4.6326940059661865,wine_quality
[2],sigmoid,0.001,32,20,0.35686802864074707,0.3032679855823517,9.460944890975952,wine_quality
[2],sigmoid,0.001,64,10,0.4415159821510315,0.4588235318660736,2.914807081222534,wine_quality
[2],sigmoid,0.001,64,15,0.40265485644340515,0.3816993534564972,2.6617772579193115,wine_quality
[2],sigmoid,0.001,64,20,0.36398613452911377,0.32418301701545715,3.6117329597473145,wine_quality
[2],sigmoid,0.001,128,10,0.16160061955451965,0.19607843458652496,1.2720718383789062,wine_quality
[2],sigmoid,0.001,128,15,0.23624470829963684,0.2810457646846771,1.832364797592163,wine_quality
[2],sigmoid,0.001,128,20,0.3470565676689148,0.30588236451148987,2.4595818519592285,wine_quality
[2],sigmoid,0.0001,32,10,0.0,0.0,2.914011240005493,wine_quality
[2],sigmoid,0.0001,32,15,0.16160061955451965,0.19607843458652496,4.43367075920105,wine_quality
[2],sigmoid,0.0001,32,20,0.16160061955451965,0.19607843458652496,6.6121790409088135,wine_quality
[2],sigmoid,0.0001,64,10,0.0,0.0,1.8123431205749512,wine_quality
[2],sigmoid,0.0001,64,15,0.0,0.0,3.478243827819824,wine_quality
[2],sigmoid,0.0001,64,20,0.0,0.0,4.029776096343994,wine_quality
[2],sigmoid,0.0001,128,10,0.0,0.0,1.1650261878967285,wine_quality
[2],sigmoid,0.0001,128,15,0.0,0.0,1.7767868041992188,wine_quality
[2],sigmoid,0.0001,128,20,0.0,0.0,4.331043243408203,wine_quality
"[4, 4]",tanh,0.01,32,10,0.3283955454826355,0.27450981736183167,3.725477933883667,wine_quality
"[4, 4]",tanh,0.01,32,15,0.330319344997406,0.2823529541492462,5.194650173187256,wine_quality
"[4, 4]",tanh,0.01,32,20,0.3270488679409027,0.27973857522010803,6.532422065734863,wine_quality
"[4, 4]",tanh,0.01,64,10,0.33262792229652405,0.2823529541492462,1.977952003479004,wine_quality
"[4, 4]",tanh,0.01,64,15,0.3385917544364929,0.29281046986579895,2.883707046508789,wine_quality
"[4, 4]",tanh,0.01,64,20,0.33974605798721313,0.2888889014720917,3.7943508625030518,wine_quality
"[4, 4]",tanh,0.01,128,10,0.34724894165992737,0.2967320382595062,1.2799222469329834,wine_quality
"[4, 4]",tanh,0.01,128,15,0.3341669738292694,0.2823529541492462,1.918030023574829,wine_quality
"[4, 4]",tanh,0.01,128,20,0.33762985467910767,0.2862745225429535,2.592319965362549,wine_quality
"[4, 4]",tanh,0.001,32,10,0.38130050897598267,0.37254902720451355,3.1967291831970215,wine_quality
"[4, 4]",tanh,0.001,32,15,0.3478260934352875,0.29542484879493713,4.96938419342041,wine_quality
"[4, 4]",tanh,0.001,32,20,0.3385917544364929,0.2849673330783844,6.760149955749512,wine_quality
"[4, 4]",tanh,0.001,64,10,0.3566756546497345,0.3019607961177826,1.9492521286010742,wine_quality
"[4, 4]",tanh,0.001,64,15,0.3670642673969269,0.34379085898399353,3.3241190910339355,wine_quality
"[4, 4]",tanh,0.001,64,20,0.3811081051826477,0.37385621666908264,4.498676061630249,wine_quality
"[4, 4]",tanh,0.001,128,10,0.34551751613616943,0.2836601436138153,1.2890160083770752,wine_quality
"[4, 4]",tanh,0.001,128,15,0.35821470618247986,0.29281046986579895,1.9915709495544434,wine_quality
"[4, 4]",tanh,0.001,128,20,0.35648325085639954,0.3137255012989044,2.5917210578918457,wine_quality
"[4, 4]",tanh,0.0001,32,10,0.3432089388370514,0.2875817120075226,3.1462972164154053,wine_quality
"[4, 4]",tanh,0.0001,32,15,0.34301653504371643,0.2862745225429535,4.773092746734619,wine_quality
"[4, 4]",tanh,0.0001,32,20,0.3439784646034241,0.2849673330783844,6.554434061050415,wine_quality
"[4, 4]",tanh,0.0001,64,10,0.3453251123428345,0.2862745225429535,1.9441978931427002,wine_quality
"[4, 4]",tanh,0.0001,64,15,0.34417083859443665,0.2862745225429535,2.884510040283203,wine_quality
"[4, 4]",tanh,0.0001,64,20,0.3453251123428345,0.2849673330783844,3.753702163696289,wine_quality
"[4, 4]",tanh,0.0001,128,10,0.3451327383518219,0.2849673330783844,1.338451862335205,wine_quality
"[4, 4]",tanh,0.0001,128,15,0.3453251123428345,0.2875817120075226,1.9211997985839844,wine_quality
"[4, 4]",tanh,0.0001,128,20,0.3443632125854492,0.2875817120075226,2.82059907913208,wine_quality
"[4, 4]",relu,0.01,32,10,0.3330127000808716,0.2823529541492462,3.5412490367889404,wine_quality
"[4, 4]",relu,0.01,32,15,0.31396690011024475,0.27450981736183167,4.907569169998169,wine_quality
"[4, 4]",relu,0.01,32,20,0.2795305848121643,0.2718954384326935,6.624783277511597,wine_quality
"[4, 4]",relu,0.01,64,10,0.3128126263618469,0.27450981736183167,1.9093620777130127,wine_quality
"[4, 4]",relu,0.01,64,15,0.33070412278175354,0.2823529541492462,2.8799359798431396,wine_quality
"[4, 4]",relu,0.01,64,20,0.3349364995956421,0.2836601436138153,3.8162312507629395,wine_quality
"[4, 4]",relu,0.01,128,10,0.3297422230243683,0.2810457646846771,1.3154869079589844,wine_quality
"[4, 4]",relu,0.01,128,15,0.30107733607292175,0.2732026278972626,2.424834966659546,wine_quality
"[4, 4]",relu,0.01,128,20,0.29280492663383484,0.2718954384326935,2.4904420375823975,wine_quality
"[4, 4]",relu,0.001,32,10,0.3387841582298279,0.2849673330783844,3.0692989826202393,wine_quality
"[4, 4]",relu,0.001,32,15,0.34090033173561096,0.2836601436138153,4.609440088272095,wine_quality
"[4, 4]",relu,0.001,32,20,0.3405155837535858,0.2823529541492462,6.417913913726807,wine_quality
"[4, 4]",relu,0.001,64,10,0.3437860608100891,0.2810457646846771,2.8207008838653564,wine_quality
"[4, 4]",relu,0.001,64,15,0.3382070064544678,0.2836601436138153,3.8904759883880615,wine_quality
"[4, 4]",relu,0.001,64,20,0.3407079577445984,0.2810457646846771,4.8570029735565186,wine_quality
"[4, 4]",relu,0.001,128,10,0.33455175161361694,0.2862745225429535,1.1881189346313477,wine_quality
"[4, 4]",relu,0.001,128,15,0.3607156574726105,0.3124183118343353,1.7857160568237305,wine_quality
"[4, 4]",relu,0.001,128,20,0.33762985467910767,0.2823529541492462,2.595709800720215,wine_quality
"[4, 4]",relu,0.0001,32,10,0.1021546721458435,0.07058823853731155,3.179090738296509,wine_quality
