dataset,classifier,splitting,feature_selection,scaling,n_features_orig,n_features,accuracy,precision,recall,f1,preprocess_time,training_time,prediction_time,f1_std
wine_quality,LinearSVC,holdout,p-value,,13,12,0.1519476158495634,0.1997297541106319,0.1519476158495634,0.1292403435736087,0.1097834110260009,10.847567558288574,0.0096049308776855,
wine_quality,LinearSVC,cv,p-value,,13,12,0.1818463457040876,0.2740916666179083,0.1818463457040876,0.1070067050999791,0.1653600215911865,18.01743440628052,0.0054042816162109,0.0114281918492296
wine_quality,DecisionTreeClassifier,holdout,p-value,,13,12,0.7817327065144393,0.7781579351923702,0.7817327065144393,0.7796314934212388,0.1820034980773925,0.4601485729217529,0.0101315975189208,
wine_quality,DecisionTreeClassifier,cv,p-value,,13,12,0.802791142584747,0.799491393670218,0.802791142584747,0.8007472064297334,0.1388916492462158,0.5453660488128662,0.0042017936706542,0.0085429881566389
wine_quality,RandomForestClassifier,holdout,p-value,,13,12,0.8634989926124916,0.8590420728254375,0.8634989926124916,0.8603062267515459,0.2232928276062011,8.237600564956665,0.2778263092041015,
wine_quality,RandomForestClassifier,cv,p-value,,13,12,0.8811713766114151,0.8779057169376336,0.8811713766114151,0.8787324527689666,0.1480211734771728,8.981923389434815,0.1925244331359863,0.0067639286092685
wine_quality,SVC,holdout,p-value,,13,12,0.0995634654130288,0.0334368983319333,0.0995634654130288,0.0462118220049102,0.1494867801666259,27.673155784606934,8.374922513961792,
wine_quality,SVC,cv,p-value,,13,12,0.0977733149718329,0.0562363585121948,0.0977733149718329,0.047992130601594,0.1407218933105468,30.54552154541016,6.049410629272461,0.0057123329575917
wine_quality,LinearSVC,holdout,p-value,standard,13,12,0.5043653458697113,0.486676065936197,0.5043653458697113,0.479443607390394,0.2066352367401123,10.633431673049929,0.0018367767333984,
wine_quality,LinearSVC,cv,p-value,standard,13,12,0.5105282948733482,0.4922275886418127,0.5105282948733482,0.4882586523943232,0.178828477859497,12.456837511062622,0.0021231174468994,0.0063088161041395
wine_quality,DecisionTreeClassifier,holdout,p-value,standard,13,12,0.7857622565480188,0.7828099549455959,0.7857622565480188,0.7840399134866887,0.1793839931488037,0.4499576091766357,0.0,
wine_quality,DecisionTreeClassifier,cv,p-value,standard,13,12,0.8026903234850652,0.7996640197364636,0.8026903234850652,0.8008159553726735,0.1443954944610595,0.5299395084381103,0.0017901897430419,0.005897266092924
wine_quality,RandomForestClassifier,holdout,p-value,standard,13,12,0.8628274009402284,0.8584430497578376,0.8628274009402284,0.8595259706183999,0.1605455875396728,7.667339324951172,0.2703614234924316,
wine_quality,RandomForestClassifier,cv,p-value,standard,13,12,0.8812216402672524,0.8778561591412399,0.8812216402672524,0.8787024712561331,0.1141504287719726,5.393903160095215,0.114268159866333,0.0063059050311101
wine_quality,SVC,holdout,p-value,standard,13,12,0.3347884486232371,0.3525678315753902,0.3347884486232371,0.3249086245810864,0.0482449531555175,4.760137557983398,2.2997074127197266,
wine_quality,SVC,cv,p-value,standard,13,12,0.3164417467445021,0.3447609502703549,0.3164417467445021,0.3170542377900684,0.0528418540954589,5.567072534561158,1.7288483142852784,0.0075222973531577
wine_quality,LinearSVC,holdout,,,13,13,0.1831766286098052,0.1722713079523995,0.1831766286098052,0.1163833163965699,0.0,5.139352083206177,0.0041890144348144,
wine_quality,LinearSVC,cv,,,13,13,0.1794296813104072,0.3249543357547592,0.1794296813104072,0.0934433482172668,0.0005918979644775,6.029150772094726,0.0009957313537597,0.0488884177031563
wine_quality,DecisionTreeClassifier,holdout,,,13,13,0.7891202149093351,0.7861363044818598,0.7891202149093351,0.7872763517151776,0.0,0.2201638221740722,0.0035004615783691,
wine_quality,DecisionTreeClassifier,cv,,,13,13,0.8062667437156158,0.8035561381130168,0.8062667437156158,0.804503427228639,0.0006779670715332,0.2106257915496826,0.0006017208099365,0.0050889242585396
wine_quality,RandomForestClassifier,holdout,,,13,13,0.8624916051040967,0.8583900726512368,0.8624916051040967,0.8595759336076494,0.0,2.7961716651916504,0.1039559841156005,
wine_quality,RandomForestClassifier,cv,,,13,13,0.8824305940994123,0.8791085471240156,0.8824305940994123,0.8799041441714752,0.0015774250030517,3.19370493888855,0.0667842388153076,0.0059457976308934
wine_quality,SVC,holdout,,,13,13,0.0995634654130288,0.0333826783705288,0.0995634654130288,0.0462103349577501,0.0,8.948384761810303,2.766716718673706,
wine_quality,SVC,cv,,,13,13,0.0977733149718329,0.0781073186141982,0.0977733149718329,0.0500537777066217,0.0017186641693115,10.46684184074402,2.085586738586426,0.005040825137014
wine_quality,LinearSVC,holdout,,standard,13,13,0.5097380792478173,0.4942259831779939,0.5097380792478173,0.4852521273554676,0.0114617347717285,3.788177490234375,0.0,
wine_quality,LinearSVC,cv,,standard,13,13,0.5148600781357537,0.4984588903334734,0.5148600781357537,0.4925769818634887,0.0088099956512451,4.44143123626709,0.0,0.0047706215462163
wine_quality,DecisionTreeClassifier,holdout,,standard,13,13,0.7876091336467428,0.78454969193695,0.7876091336467428,0.785768601337402,0.0140836238861083,0.19569993019104,0.0024631023406982,
wine_quality,DecisionTreeClassifier,cv,,standard,13,13,0.806921554062926,0.8039834796708197,0.806921554062926,0.8049232995236784,0.0074010848999023,0.2084738254547119,0.0015994071960449,0.0057094241770447
wine_quality,RandomForestClassifier,holdout,,standard,13,13,0.8651779717931498,0.8610941960973272,0.8651779717931498,0.862024758204976,0.0115013122558593,2.8286893367767334,0.0997252464294433,
