Hidden Layer Sizes,Activation Function,Learning Rate,Batch Size,Number of Epochs,Average Accuracy,Training Time,dataset
[5],tanh,0.01,64,10,0.5384759664535522,14.801620960235596,wine_quality
[5],tanh,0.001,64,10,0.41477659344673157,41.167479038238525,wine_quality
[5],tanh,0.0001,64,10,0.21796975731849672,33.789345026016235,wine_quality
[5],relu,0.01,64,10,0.5421299934387207,13.735649108886719,wine_quality
[5],relu,0.001,64,10,0.42863200306892396,24.834079027175903,wine_quality
[5],relu,0.0001,64,10,0.052519804984331134,19.73058009147644,wine_quality
[5],sigmoid,0.01,64,10,0.5388617038726806,15.396676063537598,wine_quality
[5],sigmoid,0.001,64,10,0.4926902770996094,17.70193576812744,wine_quality
[5],sigmoid,0.0001,64,10,0.03520619012415409,20.76297402381897,wine_quality
[10],tanh,0.01,64,10,0.5507875561714173,22.377949953079224,wine_quality
[10],tanh,0.001,64,10,0.5023078799247742,25.560473918914795,wine_quality
[10],tanh,0.0001,64,10,0.1714155614376068,22.97097086906433,wine_quality
[10],relu,0.01,64,10,0.5536712527275085,15.625073909759521,wine_quality
[10],relu,0.001,64,10,0.5105796933174134,13.989321231842041,wine_quality
[10],relu,0.0001,64,10,0.31377248764038085,18.288963079452515,wine_quality
[10],sigmoid,0.01,64,10,0.5502097010612488,16.382179975509644,wine_quality
[10],sigmoid,0.001,64,10,0.5126974821090698,20.240412950515747,wine_quality
[10],sigmoid,0.0001,64,10,0.45363478660583495,14.090271949768066,wine_quality
"[25, 30]",tanh,0.01,64,10,0.5492518663406372,15.978032112121582,wine_quality
"[25, 30]",tanh,0.001,64,10,0.5352043271064758,23.748237133026123,wine_quality
"[25, 30]",tanh,0.0001,64,10,0.396307098865509,23.785838842391968,wine_quality
"[25, 30]",relu,0.01,64,10,0.5523282408714294,15.510194063186646,wine_quality
"[25, 30]",relu,0.001,64,10,0.541167163848877,22.879985094070435,wine_quality
"[25, 30]",relu,0.0001,64,10,0.46863903999328616,22.749960899353027,wine_quality
"[25, 30]",sigmoid,0.01,64,10,0.5450183153152466,15.645718812942505,wine_quality
"[25, 30]",sigmoid,0.001,64,10,0.5280889511108399,18.04638171195984,wine_quality
"[25, 30]",sigmoid,0.0001,64,10,0.426317834854126,25.14445996284485,wine_quality
"[20, 25, 30]",tanh,0.01,64,10,0.5538722395896911,22.225502014160156,wine_quality
"[20, 25, 30]",tanh,0.001,64,10,0.5405930399894714,26.527384281158447,wine_quality
"[20, 25, 30]",tanh,0.0001,64,10,0.4084250807762146,18.774882078170776,wine_quality
"[20, 25, 30]",relu,0.01,64,10,0.5611764311790466,19.611422777175903,wine_quality
"[20, 25, 30]",relu,0.001,64,10,0.540205442905426,16.52413511276245,wine_quality
"[20, 25, 30]",relu,0.0001,64,10,0.4457486867904663,24.763626098632812,wine_quality
"[20, 25, 30]",sigmoid,0.01,64,10,0.5411714434623718,17.533456802368164,wine_quality
"[20, 25, 30]",sigmoid,0.001,64,10,0.5232773721218109,16.92683982849121,wine_quality
"[20, 25, 30]",sigmoid,0.0001,64,10,0.3343575596809387,22.309555053710938,wine_quality
[5],tanh,0.01,64,10,0.8985432505607605,10.444025039672852,bank_marketing
[5],tanh,0.001,64,10,0.8984521985054016,10.10687804222107,bank_marketing
[5],tanh,0.0001,64,10,0.8835204720497132,12.306125164031982,bank_marketing
[5],relu,0.01,64,10,0.8979969620704651,10.063668012619019,bank_marketing
[5],relu,0.001,64,10,0.8982701063156128,10.309428930282593,bank_marketing
[5],relu,0.0001,64,10,0.8945371747016907,14.351664781570435,bank_marketing
[5],sigmoid,0.01,64,10,0.8995447635650635,13.074882745742798,bank_marketing
[5],sigmoid,0.001,64,10,0.8994233727455139,9.855752944946289,bank_marketing
[5],sigmoid,0.0001,64,10,0.8884066700935364,13.92424201965332,bank_marketing
[10],tanh,0.01,64,10,0.8971471786499023,9.866658926010132,bank_marketing
[10],tanh,0.001,64,10,0.8976024270057679,11.324716091156006,bank_marketing
[10],tanh,0.0001,64,10,0.894749641418457,9.892836809158325,bank_marketing
[10],relu,0.01,64,10,0.8972685813903809,10.007269859313965,bank_marketing
[10],relu,0.001,64,10,0.8972685813903809,9.769433975219727,bank_marketing
[10],relu,0.0001,64,10,0.893930196762085,9.804450988769531,bank_marketing
[10],sigmoid,0.01,64,10,0.898664653301239,10.024497032165527,bank_marketing
[10],sigmoid,0.001,64,10,0.8995447635650635,10.614719867706299,bank_marketing
[10],sigmoid,0.0001,64,10,0.8988467335700989,9.486800193786621,bank_marketing
"[25, 30]",tanh,0.01,64,10,0.8954476475715637,11.650208950042725,bank_marketing
"[25, 30]",tanh,0.001,64,10,0.8966919541358948,10.841712951660156,bank_marketing
"[25, 30]",tanh,0.0001,64,10,0.8952048659324646,12.113577127456665,bank_marketing
"[25, 30]",relu,0.01,64,10,0.8991198778152466,10.994035005569458,bank_marketing
"[25, 30]",relu,0.001,64,10,0.898755693435669,11.549622058868408,bank_marketing
"[25, 30]",relu,0.0001,64,10,0.8972382426261902,10.88954496383667,bank_marketing
"[25, 30]",sigmoid,0.01,64,10,0.8978755593299865,10.650617122650146,bank_marketing
"[25, 30]",sigmoid,0.001,64,10,0.8989377856254578,10.887485980987549,bank_marketing
"[25, 30]",sigmoid,0.0001,64,10,0.8959635734558106,10.8573739528656,bank_marketing
"[20, 25, 30]",tanh,0.01,64,10,0.8967223048210144,105.73403596878052,bank_marketing
"[20, 25, 30]",tanh,0.001,64,10,0.8977845191955567,116.13423681259155,bank_marketing
"[20, 25, 30]",tanh,0.0001,64,10,0.8962367296218872,151.94800281524658,bank_marketing
"[20, 25, 30]",relu,0.01,64,10,0.8985128998756409,128.64524173736572,bank_marketing
"[20, 25, 30]",relu,0.001,64,10,0.8974810242652893,108.62465906143188,bank_marketing
"[20, 25, 30]",relu,0.0001,64,10,0.8975720763206482,120.56644296646118,bank_marketing
"[20, 25, 30]",sigmoid,0.01,64,10,0.8989681363105774,121.211843252182,bank_marketing
"[20, 25, 30]",sigmoid,0.001,64,10,0.8984825491905213,146.62126398086548,bank_marketing
"[20, 25, 30]",sigmoid,0.0001,64,10,0.8884066700935364,148.64469504356384,bank_marketing
