Image,SSIM btw Original and Blur,SSIM btw Original and Deblurred,SSIM btw Blur and Deblurred
65033.jpg,0.5706758090441163,0.6703752632068437,0.789303254088007
148089.jpg,0.581593715195385,0.7128562767206507,0.8052810367043186
21077.jpg,0.6957406681178374,0.7635110971022562,0.8458025385847373
41033.jpg,0.7248017465595623,0.7857717183773789,0.8414682472789661
12084.jpg,0.6473034181330611,0.7351192083407675,0.759234510803788
175043.jpg,0.6112435090351219,0.773120666463285,0.775112817152106
376043.jpg,0.5992601493909392,0.7301379995071159,0.806554905521188
299086.jpg,0.7482699807872836,0.7524437843709647,0.771840400682851
108082.jpg,0.7395170371251821,0.814524076428341,0.8384859334989415
134035.jpg,0.6383392334993016,0.7922251419780779,0.7971651512482731
38082.jpg,0.6211512983889937,0.7282074397897275,0.8079155466206117
45096.jpg,0.9091724927035608,0.8622491637356267,0.8940855341278852
167083.jpg,0.5413031267230747,0.6426637197256547,0.8036063914081341
42049.jpg,0.8853852710199385,0.8603606165806988,0.8474294913854125
295087.jpg,0.709845910517264,0.7189653588951815,0.8202261571126054
229036.jpg,0.5761227949918173,0.7182767487112272,0.7980596623748181
89072.jpg,0.6714901781810395,0.7652847664503049,0.7838423403358301
285079.jpg,0.6344283962980359,0.7483524727983983,0.7929697814155108
69020.jpg,0.6079202720885605,0.7054092846661043,0.8279136305267638
219090.jpg,0.7387725387028589,0.7739684659831122,0.8556562729834624
103070.jpg,0.7958295611910894,0.854061175568397,0.8533307686464257
156065.jpg,0.6052268064101116,0.6787083856131627,0.8104039756341747
210088.jpg,0.8242027223209858,0.8643046225415713,0.8218074488544769
38092.jpg,0.7145152993530943,0.7737832096130242,0.8398499901394579
197017.jpg,0.7037007270740876,0.7441206624381683,0.8482734403718565
159008.jpg,0.7582066735358332,0.8469093571050225,0.8428838045483956
306005.jpg,0.7745961917741248,0.8128638310659119,0.858148972818357
241004.jpg,0.8138164615154971,0.8161495246219017,0.8739468712786572
296007.jpg,0.7348917288691372,0.7318729786557996,0.8057735715476193
85048.jpg,0.6496992089630615,0.7607708580581899,0.8364501594699035
14037.jpg,0.8549486336819393,0.844229728368083,0.8831774603102093
208001.jpg,0.6684150490409854,0.7463003658845353,0.7913038612924197
143090.jpg,0.8556132507580818,0.8377913586299003,0.8773607044619842
157055.jpg,0.7308584542404905,0.8061927379074234,0.8174148422990485
106024.jpg,0.8645039238601949,0.8649009955242214,0.894929343164312
182053.jpg,0.7287694091355208,0.7852403919244176,0.8370544901334606
37073.jpg,0.7512688658341543,0.7735024962551286,0.8170437469836945
130026.jpg,0.6546735834216207,0.743921785451546,0.8347805544097012
361010.jpg,0.7404238908123477,0.801136795750677,0.8486720320090546
227092.jpg,0.7955268908250952,0.7734392110924784,0.813296013473312
163085.jpg,0.7670830307229988,0.8147402584508748,0.8533974389064266
241048.jpg,0.6270273741576141,0.707923433250877,0.8427532301194617
86068.jpg,0.5595818829933914,0.6410300873889426,0.7638571652872016
3096.jpg,0.9361468750917314,0.8542192684029267,0.8537257132861291
147091.jpg,0.7758501880188285,0.7738692251179945,0.8465672093257197
220075.jpg,0.7981766436784818,0.8480237406536388,0.8475408222427077
42012.jpg,0.7851818072847596,0.8450632936154348,0.8662424261765214
304074.jpg,0.6370545924008524,0.7487537862001643,0.8136423196641789
175032.jpg,0.41684454963691886,0.5804448268393204,0.7428526891665997
78004.jpg,0.6999026987498089,0.765066811845568,0.8191460343253038
123074.jpg,0.7528279611984249,0.848838190099776,0.8338443708567403
33039.jpg,0.608134521117192,0.7808312586057924,0.7916716946354351
296059.jpg,0.7617240095407828,0.7715652719101905,0.8320194734443777
69040.jpg,0.5715394011575451,0.730798883763298,0.7645992109817197
41069.jpg,0.4687016411756839,0.6055658790340425,0.7760696897333669
145086.jpg,0.6776122029942812,0.703601056495509,0.8192475601218708
58060.jpg,0.5562527099961406,0.6401114169660987,0.7800633295570183
102061.jpg,0.7955870185319176,0.8115889197803567,0.8602592219447521
236037.jpg,0.6058413441997171,0.7460964267028656,0.802676620873212
97033.jpg,0.6680530780353132,0.7645127029548225,0.8416011482280155
43074.jpg,0.7739385857694088,0.7946778251728809,0.8215673333342348
16077.jpg,0.7194783752845343,0.7865669848635677,0.8484481220448793
260058.jpg,0.7238143724076206,0.7571564263918423,0.8226502033897893
351093.jpg,0.6577767991553114,0.7432418368505681,0.8525246903530982
253055.jpg,0.7899516826194165,0.7890534315142853,0.8636329968998565
271035.jpg,0.6994704615862227,0.7856730346170816,0.8283186112329503
302008.jpg,0.8746996946275516,0.8936745069212305,0.8704408999886898
148026.jpg,0.5952490093954171,0.7276319184919892,0.7724442067368908
109053.jpg,0.7563611213950591,0.8232381053283095,0.8294759500674697
62096.jpg,0.7002898863393693,0.7576439649975449,0.8533823403053681
216081.jpg,0.6875899004149453,0.7293434274362495,0.8266509934011262
189080.jpg,0.8611872263912356,0.8596130012782006,0.8920068041149479
108005.jpg,0.6609881124407605,0.7753746139754428,0.7893273982044021
385039.jpg,0.6676974699209648,0.7319358080055144,0.8346898392717673
119082.jpg,0.6566194737746339,0.757847993408851,0.8322453804762184
19021.jpg,0.7097573556726001,0.7883793491004959,0.8217094520625353
54082.jpg,0.7024315604042465,0.7331643013535446,0.8234466377162942
86000.jpg,0.7120316229405099,0.7556740228420408,0.8107400352893436
167062.jpg,0.8287397249568027,0.827528585312589,0.906930500493529
55073.jpg,0.5260855234021504,0.646959236312496,0.8100627378588509
101085.jpg,0.6096408582724132,0.7200544218892061,0.8342126021877396
76053.jpg,0.6431504458876338,0.7125083345273254,0.7866541169249913
223061.jpg,0.6258820693845207,0.7266890331470034,0.7997268257024102
101087.jpg,0.8001541363683017,0.8226358127942955,0.8800490609609156
8023.jpg,0.7824296877946469,0.8602087857842596,0.812984832298782
291000.jpg,0.4493787752168162,0.5681935359207532,0.772247829234537
160068.jpg,0.7987624092038512,0.839231183484245,0.8527987702229542
196073.jpg,0.4668230605359449,0.5345257878825201,0.7285948465082752
86016.jpg,0.32969501660360506,0.46986962879927124,0.7079392918539931
87046.jpg,0.7228508456972745,0.8304241940961852,0.8266414145820672
105025.jpg,0.7082051552778225,0.7844751039927459,0.8515412050371193
300091.jpg,0.7689584254195995,0.7896708639734361,0.8682705942907152
69015.jpg,0.7644229010842972,0.8244549173456898,0.852904620901819
253027.jpg,0.6210256949503511,0.7147940359819959,0.7911368304480443
108070.jpg,0.5566648952376272,0.6781059752414013,0.7836947531723936
24077.jpg,0.7610517016934457,0.8399998402176078,0.8373464119932846
126007.jpg,0.7870612018110527,0.7974290048930821,0.8481605513969245
304034.jpg,0.623052396950731,0.768096100842054,0.8000004874684894
170057.jpg,0.7491669472638603,0.8284547173822908,0.7961045619146226
66053.jpg,0.6435395745652263,0.7268743492512305,0.8302565746292561
