Image,SSIM btw Original and Blur,SSIM btw Original and Deblurred,SSIM btw Blur and Deblurred,PSNR btw Original and Blur,PSNR btw Original and Deblurred,PSNR btw Blur and Deblurred
65033.jpg,0.2937711800018902,0.3558591753008458,0.788104405082206,74.75489460422696,74.88514123358657,76.93908060913104
148089.jpg,0.2589114676112917,0.32935104896419976,0.7785824250772184,74.38728799207034,74.55136476101137,76.33851940187837
21077.jpg,0.4189086415715697,0.4807415566001507,0.8129085869120126,75.4193855877394,75.61171818608845,76.58373825391575
41033.jpg,0.4851950289609473,0.5409238623650746,0.8345458094776464,75.87883015083919,76.30377637326995,77.81275957429237
12084.jpg,0.30805084605587835,0.33873331133905843,0.7311210270838364,74.91063395497324,74.72640330591078,77.77410157438572
175043.jpg,0.19697269581057783,0.30372874231608277,0.6955845222970596,74.33645276575771,74.41400696717749,76.1395263805699
376043.jpg,0.29174716808827306,0.38167087570088304,0.7904191380560062,74.66828494600313,74.75122828735982,76.23042060057601
299086.jpg,0.5727576212621429,0.566915650281188,0.7176106116973683,77.8875349856452,77.25817852151258,79.47885720964004
108082.jpg,0.45376250307606725,0.5081297697297772,0.8080731676762477,75.4255788990944,75.51385496266711,77.35332536321438
134035.jpg,0.25522464942805023,0.3654506764570568,0.7491488688824077,74.06982210622483,74.39936237151741,75.419670575341
38082.jpg,0.299703168149059,0.39078133564579237,0.7730433130941657,74.84223915496996,75.05438386980772,76.99893788443264
45096.jpg,0.8072788455491801,0.7768268663541891,0.8771041540145909,79.73947615280952,78.64835320726742,79.99787193753006
167083.jpg,0.28656699225165505,0.3481143589642643,0.7541112328378698,74.64818476539969,74.64550271658739,75.64998520349684
42049.jpg,0.6991187473599848,0.6910434560419049,0.7563401814483917,77.43688270839215,76.59532999064999,76.39224364792673
295087.jpg,0.5202011454677551,0.5035223917160777,0.8229982516870358,76.27756981806263,75.80011094945762,78.21310759414095
229036.jpg,0.2771309198222552,0.3463077833846322,0.7977907584304327,74.50761101073613,74.64210743032879,76.1143959525401
89072.jpg,0.3705349505878237,0.45477498306379216,0.7497876876900117,74.6789951623708,75.05578329635503,75.46196277710348
285079.jpg,0.3171029709122827,0.40022954471205224,0.7670681093467059,74.58346065137393,74.81786740557953,76.24196114611355
69020.jpg,0.341472357585954,0.41847925239780004,0.7774693867273804,75.01723048209399,75.1613673871006,77.2658806229438
219090.jpg,0.5412092368492022,0.5636535201264632,0.8168679348756615,76.42383990977524,76.32319106045375,77.41648581854699
103070.jpg,0.4776106306228443,0.5666303534541947,0.792717613139049,75.27743339489658,75.67913083204706,76.8363128620415
156065.jpg,0.3663065978072865,0.4238678593052177,0.7897998572916992,75.17928632134091,75.20833408093037,76.97058897328981
210088.jpg,0.4899001351926359,0.5783267351317863,0.7359782487232275,75.18867986919864,75.35857138655943,75.4311983010792
38092.jpg,0.45313883356964446,0.520059226143138,0.8056856660068146,75.22713705385733,75.30649748016896,76.16960124269875
197017.jpg,0.49186405538250005,0.5248024389138318,0.8265119974191871,75.7498837149364,75.76229233431403,77.36617311538916
159008.jpg,0.40195083211933413,0.5179088625069141,0.7854029375286324,74.4784759284149,74.92201799878166,75.73879688125798
306005.jpg,0.5219810029724224,0.5661859738846946,0.7970313197367972,75.635833813422,75.78811488974924,76.44540370293682
241004.jpg,0.6544694160186869,0.6601502079530412,0.8639185569803626,77.2598428485155,77.14900451613202,78.15342314573078
296007.jpg,0.5764438628657916,0.5468025797880286,0.7705025598068754,77.5694539866417,77.15916986490853,79.06599021323791
85048.jpg,0.29185608574446725,0.3856457650065164,0.7781125549385113,74.24785631720191,74.50548324640533,75.4966334913747
14037.jpg,0.6991012612498634,0.6964027078042028,0.8477671673737301,77.61574065241089,77.4053589860007,78.85545088330771
208001.jpg,0.42235833712181287,0.46855169934442215,0.8010722187813856,75.2877473284015,75.40082230430463,77.2022606218659
143090.jpg,0.6932739939273675,0.6818575307124788,0.8304442333709122,77.34065279232601,77.3075438257531,78.21544117896275
157055.jpg,0.38344407697795013,0.48664399305534817,0.7415964201910749,74.65710944942651,74.96005502820233,75.3471757037491
106024.jpg,0.678844864171298,0.7071429291832185,0.823351155749898,76.69967867176142,77.00752617661074,77.33129251639028
182053.jpg,0.4943656973052781,0.5131992355589047,0.7842389577999426,75.93895772252883,75.64196530912078,77.337668891297
37073.jpg,0.5845312379177213,0.591361033956164,0.7489158726784173,77.26636058792614,76.84185738845774,78.5739992571055
130026.jpg,0.40564018086743814,0.46211282525771225,0.8373484500189234,75.28739730215695,75.41959433732964,77.0153256346131
361010.jpg,0.4711611034898295,0.5162562968303798,0.7749757596857029,75.62448371299239,75.63514752398845,77.45917958950028
227092.jpg,0.6177265856447899,0.5942784459557006,0.7486956879078557,78.22551839023798,77.64491343959777,78.6091315424668
163085.jpg,0.4713114913751997,0.5445231276638122,0.7619420587978779,75.64695371538926,76.01348094770574,77.40825979602259
241048.jpg,0.36996118696999797,0.41514906456624817,0.8267544461959536,74.89466596830502,75.05565592364698,76.68791233364915
86068.jpg,0.32932589385485483,0.3824765908836209,0.7288314607181622,75.5680595267927,75.5387747506939,78.074689006986
3096.jpg,0.8311707221026964,0.757528012030866,0.7873451747906394,81.27643492287456,79.51618761334805,79.40826535329883
147091.jpg,0.5964719576136601,0.5922813458369994,0.8338137290443633,76.58468604365949,76.2981724153127,77.19902091763876
220075.jpg,0.45525069134114315,0.5284294047413646,0.7691125522882577,75.08181879780216,75.28499511780679,76.47003686162995
42012.jpg,0.45579708797675705,0.5573612543536832,0.7858978618722176,75.03814346877724,75.45066837896739,76.16372468807245
304074.jpg,0.32841376045894305,0.41494934741950146,0.7565433162719112,74.86098305413518,74.91818479380503,76.36446779996606
175032.jpg,0.15151388258631662,0.21295906414106022,0.68194874351407,74.16447090733207,74.27955633074511,77.1972396891796
78004.jpg,0.4248566084298289,0.5053454350374544,0.7616718430151733,75.10957716663823,75.23169984094278,75.97766229726108
123074.jpg,0.40874423574896684,0.4962350490058393,0.7901763473497502,75.04837766176139,75.3536772334518,76.74377058273467
33039.jpg,0.2051105518316927,0.3508407396555741,0.6774371953036301,73.88117539480574,74.05751097903244,74.57217854578023
296059.jpg,0.5572738022102235,0.5838423415957706,0.7887476224895512,76.24421338532704,76.23901444558126,77.03585336442688
69040.jpg,0.22944910347871117,0.29174882389170476,0.7098300046228253,74.75147879523409,74.7637271426419,78.4738035077509
41069.jpg,0.23420991007072933,0.28881253391850203,0.8161535096169699,74.60936449551203,74.7833844302089,77.29790146422877
145086.jpg,0.43892124938600796,0.48131629405138326,0.8265865981262444,75.19716003942546,75.1842183685259,76.51125668694851
58060.jpg,0.3381843986841457,0.36114076970849207,0.7950533979740076,75.2088922455677,75.1540605083206,78.53707333548448
102061.jpg,0.5966155016212045,0.6068007873069196,0.8064563260225116,76.6644668886556,76.4481170268622,77.38088441077929
236037.jpg,0.25177884968648273,0.3349772669361985,0.7787182467640338,74.46693082923801,74.6512808020986,77.13620585233232
97033.jpg,0.34603130068991134,0.41959794940765,0.8032826389427914,74.4616638779811,74.79060102030627,75.6495984184829
43074.jpg,0.5630554352260367,0.5904702585461232,0.7319934733474862,77.15990572573381,77.17106436876308,79.9293007653034
16077.jpg,0.42559350526723616,0.5192013636917957,0.7952301142574537,74.9421878290769,75.31552322401373,76.03985727785489
260058.jpg,0.5467180075094537,0.5522862917485479,0.8262984957109168,77.18049595131963,77.12627912105476,79.64785084050499
351093.jpg,0.43626552612845443,0.49147224912220233,0.8464368015722016,75.35542428746813,75.51066100716112,76.51753889275818
253055.jpg,0.6351705188747506,0.6233906667674916,0.8498083164004294,77.94140071206337,77.1719504363237,79.43149645514472
271035.jpg,0.38475876603504316,0.4620588910692421,0.7841467745632541,74.69554615329953,75.03761449837089,75.82606973687027
302008.jpg,0.6326593185966151,0.6507607762429013,0.8198144770230792,76.65785029452101,76.81008936635415,77.20419681589175
148026.jpg,0.27990094113259445,0.36553090572585534,0.724381641666402,74.17897762760316,74.48996640752033,75.13352708960907
109053.jpg,0.46197444005261373,0.5356486087072306,0.7543917767602126,75.80035364028998,75.93910032830321,77.51129593294036
62096.jpg,0.46520857828627654,0.4929017988592784,0.81935051568956,75.5872382871263,75.94024224307668,76.8962803751498
216081.jpg,0.42526717433027006,0.4635994899882416,0.8146103733532838,75.27324373712156,75.2401308482884,76.75783617721449
189080.jpg,0.6643905928332124,0.7010708603967197,0.825662685236782,76.51955768056318,76.82855533074135,76.5849235454142
108005.jpg,0.3261793943937424,0.39637242384774624,0.7527512272431286,74.80577265336281,74.91400286876012,77.08031893400864
385039.jpg,0.4392339258787583,0.4937169177760943,0.805970691592279,75.32570156209702,75.29082792394304,76.16399141640291
119082.jpg,0.3237028635448019,0.40944380151643034,0.7747308105293053,74.1447766872747,74.36973088568931,75.17313893374637
19021.jpg,0.4095205431821407,0.4891296782283772,0.7656853093891481,75.0587348375342,75.283531466533,76.24857547367641
54082.jpg,0.5156229213002649,0.5391235938013105,0.7688720773723888,76.64456153788912,76.29766034704127,77.39474992173199
86000.jpg,0.46760020417984816,0.4750948831866544,0.7846520212513918,75.42695168169051,75.1479123293274,76.7570877141763
167062.jpg,0.7105868065878814,0.701595838901108,0.9021015216321074,79.34693128958523,78.6577336043064,79.85914318011572
55073.jpg,0.23801239989756875,0.31454580896650347,0.7820774342380298,74.53818834679042,74.68551333992312,77.21193455572478
101085.jpg,0.3052246762984579,0.3945881090079178,0.8123697819608307,74.44183326622705,74.65149283481941,75.94342120863503
76053.jpg,0.3973699846655066,0.4228374388532377,0.8005543581626636,75.83398582248992,75.66796468967007,78.66363761741559
223061.jpg,0.36726734893625407,0.39819242049955744,0.8205612135169541,75.36285327640705,75.29783625043956,78.14136354142352
101087.jpg,0.6170619858275807,0.6459055900323163,0.838999797878519,76.62454418966784,76.55489951549902,77.03891735228832
8023.jpg,0.41804880375559184,0.49771209100327884,0.7523613827481178,75.58467439602418,75.75175502906684,78.13132522891657
291000.jpg,0.1890543465721207,0.2503338095049448,0.7607262082156033,74.26347659925766,74.3419427190826,76.7056803533366
160068.jpg,0.5936471794156709,0.6097093343725434,0.7921751614312793,76.87747065412745,76.81491025693349,77.7799345035632
196073.jpg,0.33590705194357456,0.3471531132188432,0.5838174096181152,76.79425893402153,76.4182889455048,80.99212588144603
86016.jpg,0.16393468055380322,0.18296366492068436,0.7707284470303719,74.62838975586469,74.62288622169449,78.96237539293321
87046.jpg,0.33841748389135184,0.4529255692870043,0.7690691230063669,74.63302532706145,74.9017348588483,75.87039756191922
105025.jpg,0.43842178342019505,0.5158907144214834,0.8134834946505011,75.10304440950172,75.38374194211748,76.28303085628286
300091.jpg,0.6143951432809103,0.6178937901161242,0.8455791675302667,77.56051837701166,77.0916043470322,78.48219503631177
69015.jpg,0.4453207780996709,0.517809956758522,0.7886947053971157,75.13579718672311,75.26522050592123,77.06796349380386
253027.jpg,0.35813706837943843,0.3995815054143604,0.73917932837238,75.44387000832602,75.4373507798676,77.97050436098768
108070.jpg,0.3044381701680146,0.3472122549072978,0.8022031173424363,75.01154318545991,74.99139625834925,77.85190733186386
