Image,SSIM btw Original and Blur,SSIM btw Original and Deblurred,SSIM btw Blur and Deblurred,PSNR btw Original and Blur,PSNR btw Original and Deblurred,PSNR btw Blur and Deblurred
65033.jpg,0.5706758090441163,0.6703752632068437,0.789303254088007,75.61214792578883,75.60367321911654,77.09087996758532
148089.jpg,0.581593715195385,0.7128562767206507,0.8052810367043186,75.22970687631171,75.45563368406346,76.6475017860019
21077.jpg,0.6957406681178374,0.7635110971022562,0.8458025385847373,76.91739277034058,77.02043188745175,78.30044983032619
41033.jpg,0.7248017465595623,0.7857717183773789,0.8414682472789661,78.07129772759319,78.29740339792707,79.60271486226587
12084.jpg,0.6473034181330611,0.7351192083407675,0.759234510803788,76.03413196163952,75.85257135343949,76.92348763782222
175043.jpg,0.6112435090351219,0.773120666463285,0.775112817152106,75.04679965564642,75.41861453856869,75.84362180023822
376043.jpg,0.5992601493909392,0.7301379995071159,0.806554905521188,75.44445928257952,75.68809728582607,76.90846386401121
299086.jpg,0.7482699807872836,0.7524437843709647,0.771840400682851,79.7263743985774,78.97366046359645,80.55724278791153
108082.jpg,0.7395170371251821,0.814524076428341,0.8384859334989415,76.87507311723978,77.23897037685174,77.7277343392119
134035.jpg,0.6383392334993016,0.7922251419780779,0.7971651512482731,75.16613001071356,75.61553309077843,75.87599958523145
38082.jpg,0.6211512983889937,0.7282074397897275,0.8079155466206117,75.8992749404131,76.11151017789811,77.74634818326017
45096.jpg,0.9091724927035608,0.8622491637356267,0.8940855341278852,82.57124855716052,80.70635763930588,81.52528870291854
167083.jpg,0.5413031267230747,0.6426637197256547,0.8036063914081341,75.14884941498104,75.19722223191017,76.43200556859868
42049.jpg,0.8853852710199385,0.8603606165806988,0.8474294913854125,80.14885450834969,79.05621192277601,78.96331943505356
295087.jpg,0.709845910517264,0.7189653588951815,0.8202261571126054,77.49570109517248,76.97323448409706,78.76311032473757
229036.jpg,0.5761227949918173,0.7182767487112272,0.7980596623748181,75.4038434012906,75.5403852947429,76.42417491371677
89072.jpg,0.6714901781810395,0.7652847664503049,0.7838423403358301,76.39564550846328,76.53005022277586,76.97072189515018
285079.jpg,0.6344283962980359,0.7483524727983983,0.7929697814155108,75.82085828437697,75.98800900939443,76.62615327416273
69020.jpg,0.6079202720885605,0.7054092846661043,0.8279136305267638,75.89599804778607,76.06469128526771,78.33938670574571
219090.jpg,0.7387725387028589,0.7739684659831122,0.8556562729834624,77.96480800772899,77.75493468139639,79.11642907244743
103070.jpg,0.7958295611910894,0.854061175568397,0.8533307686464257,77.87843153483864,78.1658122938582,78.50426005691848
156065.jpg,0.6052268064101116,0.6787083856131627,0.8104039756341747,76.11472946434517,76.09445015270535,77.86048823539555
210088.jpg,0.8242027223209858,0.8643046225415713,0.8218074488544769,78.08099107970078,77.7770465953656,77.24847534075046
38092.jpg,0.7145152993530943,0.7737832096130242,0.8398499901394579,76.57427536048812,76.64868871933652,77.83500226342564
197017.jpg,0.7037007270740876,0.7441206624381683,0.8482734403718565,77.4325564470931,77.34707217515354,79.21633490638246
159008.jpg,0.7582066735358332,0.8469093571050225,0.8428838045483956,76.16870663624236,76.72955449020942,76.87108871043762
306005.jpg,0.7745961917741248,0.8128638310659119,0.858148972818357,77.22553033843822,77.140849939838,77.87335670110862
241004.jpg,0.8138164615154971,0.8161495246219017,0.8739468712786572,79.73266494582256,79.13589942644212,80.47557032113727
296007.jpg,0.7348917288691372,0.7318729786557996,0.8057735715476193,79.30586379886154,78.75092126217451,81.16404446148448
85048.jpg,0.6496992089630615,0.7607708580581899,0.8364501594699035,75.43405958935509,75.74167738120207,76.93399948094358
14037.jpg,0.8549486336819393,0.844229728368083,0.8831774603102093,80.16572869158708,79.50981678821745,80.9042781438702
208001.jpg,0.6684150490409854,0.7463003658845353,0.7913038612924197,76.71147267558493,76.72079419088176,77.87816295832373
143090.jpg,0.8556132507580818,0.8377913586299003,0.8773607044619842,80.23252845890688,79.3388173572485,80.74412758438827
157055.jpg,0.7308584542404905,0.8061927379074234,0.8174148422990485,76.52842997478609,76.76215022889635,76.94914095658756
106024.jpg,0.8645039238601949,0.8649009955242214,0.894929343164312,80.30462162475673,79.59345690443298,80.76252311105527
182053.jpg,0.7287694091355208,0.7852403919244176,0.8370544901334606,76.91110611457347,76.87399786536302,77.60127589971472
37073.jpg,0.7512688658341543,0.7735024962551286,0.8170437469836945,79.12961030453468,78.43835369627499,79.73445621981837
130026.jpg,0.6546735834216207,0.743921785451546,0.8347805544097012,76.41610528967631,76.51130338990164,77.7228195921983
361010.jpg,0.7404238908123477,0.801136795750677,0.8486720320090546,77.43831008198084,77.5594572686113,78.40981055310446
227092.jpg,0.7955268908250952,0.7734392110924784,0.813296013473312,80.66315689129027,79.63370539702487,81.23165439312247
163085.jpg,0.7670830307229988,0.8147402584508748,0.8533974389064266,77.69810499849319,77.73014521545868,79.20228831505557
241048.jpg,0.6270273741576141,0.707923433250877,0.8427532301194617,75.9666651004627,76.05899743982536,78.0979802415388
86068.jpg,0.5595818829933914,0.6410300873889426,0.7638571652872016,76.59077959065294,76.47463647284094,78.81585531986862
3096.jpg,0.9361468750917314,0.8542192684029267,0.8537257132861291,85.04359924052146,82.04440280915536,82.1358156387597
147091.jpg,0.7758501880188285,0.7738692251179945,0.8465672093257197,78.31496071769986,77.60612889343798,78.74081193099934
220075.jpg,0.7981766436784818,0.8480237406536388,0.8475408222427077,77.1241243920862,77.24429985307715,77.4539102415456
42012.jpg,0.7851818072847596,0.8450632936154348,0.8662424261765214,77.2400197246216,77.83709108269122,78.25702631157553
304074.jpg,0.6370545924008524,0.7487537862001643,0.8136423196641789,75.79955024171555,75.99097501426809,77.16654781632928
175032.jpg,0.41684454963691886,0.5804448268393204,0.7428526891665997,74.54001599735756,74.73008924206249,76.35908978015219
78004.jpg,0.6999026987498089,0.765066811845568,0.8191460343253038,76.8028104196584,76.6750920388854,77.41507002230564
123074.jpg,0.7528279611984249,0.848838190099776,0.8338443708567403,76.96321049298393,77.51651315004368,77.88188443296843
33039.jpg,0.608134521117192,0.7808312586057924,0.7916716946354351,74.40460986957922,74.72221668168575,75.01790762171241
296059.jpg,0.7617240095407828,0.7715652719101905,0.8320194734443777,78.45208085331352,78.0912192793618,79.49187837979521
69040.jpg,0.5715394011575451,0.730798883763298,0.7645992109817197,75.49941423144541,75.83800554055203,76.77661162020507
41069.jpg,0.4687016411756839,0.6055658790340425,0.7760696897333669,75.25608255603898,75.42148152173192,77.4964775768056
145086.jpg,0.6776122029942812,0.703601056495509,0.8192475601218708,77.12914547342243,76.54870490962374,77.81468667486797
58060.jpg,0.5562527099961406,0.6401114169660987,0.7800633295570183,76.02736959397876,75.98066075654019,77.5976982037684
