Image,PSNR btw Original and Blur,PSNR btw Original and Deblurred,PSNR btw Blur and Deblurred
241_HONOR-7X_S.jpg,76.95227444002228,76.24244883920241,77.59443034679391
92_IPHONE-7_S.jpeg,82.84789328978293,80.52577433557282,81.91774508235412
69_SAMSUNG-GALAXY-J3_S.jpg,78.05800377225451,77.41344748071238,78.27591994319226
310_XIAOMI-PROCOFONE-F1_S.jpg,78.30449179989286,77.29390558990157,78.55590341134037
23_HUAWEI-P20_S.jpg,75.28892655138782,75.28393998569959,77.25702605927685
347_XIAOMI-PROCOFONE-F1_S.jpg,77.81711928412638,77.3113955425143,78.52765004303618
59_IPHONE-6S_S.jpg,75.22125411487104,75.13030546219606,78.05317082803633
304_SAMSUNG-GALAXY-J7_S.jpg,80.63922978707673,79.05869226126245,79.81414124444136
35_IPHONE-6S_S.jpeg,77.55909600206996,77.1532202301625,79.23754370711056
267_SONY-NEX-5T_S.JPG,79.94344986136338,78.69749377789859,81.33562474319218
168_CANON-6D-100MM_S.JPG,81.6829213672828,79.97531557964243,80.89652321807594
211_SAMSUNG-GALAXY-7-NEO_S.jpg,81.4556267697054,78.80179350277075,79.58268187904302
251_IPHONE-6S_S.jpeg,78.47138173085743,77.37867607245592,78.5463375374163
213_ONEPLUS-3T_S.jpg,77.43803244743123,76.89308895056027,80.29424816460704
256_SAMSUNG-GALAXY-GRAND-PRIME_S.jpg,78.46843936439411,77.91260134850165,79.7107017160067
135_NIKON-D3400-18-55MM_S.JPG,77.88893450098548,77.2613357986088,79.18293930334207
52_HONOR-8X_S.jpg,80.97050796506053,79.42494941626467,80.97083181988779
16_IPHONE-7_S.jpeg,82.63915032262605,80.19602888794554,81.55882167730141
150_NIKON-D3400-18-55MM_S.JPG,75.64529307950819,75.42518201632848,77.36249354352583
206_IPHONE-7_S.jpg,78.59364779529962,77.59823671373896,78.61363296556877
30_HONOR-8X_S.jpg,78.30880381333645,77.6321407168503,80.74122870628779
140_SAMSUNG-GALAXY-J5_S.jpg,78.87325720637544,77.69990360234272,79.27007883052374
264_IPHONE-7_S.jpeg,76.68727255706459,76.31335125835851,77.83935510453131
345_XIAOMI-PROCOFONE-F1_S.jpg,79.5691348729928,78.2038009296655,79.8404898588598
174_HUAWEI-P20_S.jpg,78.73199333799866,77.63733296263581,78.49624974344378
122_HONOR-7X_S.jpg,76.05815121946853,76.01965339057618,79.18444823030254
314_IPHONE-5S_S.jpeg,79.00673713459457,77.94334508129141,78.96223281167471
