Image,SSIM btw Original and Blur,SSIM btw Original and Deblurred,SSIM btw Blur and Deblurred
65033.jpg,0.2937711800018902,0.3558591753008458,0.788104405082206
148089.jpg,0.2589114676112917,0.32935104896419976,0.7785824250772184
21077.jpg,0.4189086415715697,0.4807415566001507,0.8129085869120126
41033.jpg,0.4851950289609473,0.5409238623650746,0.8345458094776464
12084.jpg,0.30805084605587835,0.33873331133905843,0.7311210270838364
175043.jpg,0.19697269581057783,0.30372874231608277,0.6955845222970596
376043.jpg,0.29174716808827306,0.38167087570088304,0.7904191380560062
299086.jpg,0.5727576212621429,0.566915650281188,0.7176106116973683
108082.jpg,0.45376250307606725,0.5081297697297772,0.8080731676762477
134035.jpg,0.25522464942805023,0.3654506764570568,0.7491488688824077
38082.jpg,0.299703168149059,0.39078133564579237,0.7730433130941657
45096.jpg,0.8072788455491801,0.7768268663541891,0.8771041540145909
167083.jpg,0.28656699225165505,0.3481143589642643,0.7541112328378698
42049.jpg,0.6991187473599848,0.6910434560419049,0.7563401814483917
295087.jpg,0.5202011454677551,0.5035223917160777,0.8229982516870358
229036.jpg,0.2771309198222552,0.3463077833846322,0.7977907584304327
89072.jpg,0.3705349505878237,0.45477498306379216,0.7497876876900117
285079.jpg,0.3171029709122827,0.40022954471205224,0.7670681093467059
69020.jpg,0.341472357585954,0.41847925239780004,0.7774693867273804
219090.jpg,0.5412092368492022,0.5636535201264632,0.8168679348756615
103070.jpg,0.4776106306228443,0.5666303534541947,0.792717613139049
156065.jpg,0.3663065978072865,0.4238678593052177,0.7897998572916992
210088.jpg,0.4899001351926359,0.5783267351317863,0.7359782487232275
38092.jpg,0.45313883356964446,0.520059226143138,0.8056856660068146
197017.jpg,0.49186405538250005,0.5248024389138318,0.8265119974191871
159008.jpg,0.40195083211933413,0.5179088625069141,0.7854029375286324
306005.jpg,0.5219810029724224,0.5661859738846946,0.7970313197367972
241004.jpg,0.6544694160186869,0.6601502079530412,0.8639185569803626
296007.jpg,0.5764438628657916,0.5468025797880286,0.7705025598068754
85048.jpg,0.29185608574446725,0.3856457650065164,0.7781125549385113
14037.jpg,0.6991012612498634,0.6964027078042028,0.8477671673737301
208001.jpg,0.42235833712181287,0.46855169934442215,0.8010722187813856
143090.jpg,0.6932739939273675,0.6818575307124788,0.8304442333709122
157055.jpg,0.38344407697795013,0.48664399305534817,0.7415964201910749
106024.jpg,0.678844864171298,0.7071429291832185,0.823351155749898
182053.jpg,0.4943656973052781,0.5131992355589047,0.7842389577999426
37073.jpg,0.5845312379177213,0.591361033956164,0.7489158726784173
130026.jpg,0.40564018086743814,0.46211282525771225,0.8373484500189234
